n_leaves n_trees n_trees_f n_equ_trees n_equ_trees_f p p_tree
1 3 3.0 3 3.0 0.21428571428571427 0.6428571428571428
2 18 18.0 12 12.0 0.008199708454810495 0.1475947521865889
3 216 216.0 72 72.0 0.0003137643541381567 0.06777310049384185
4 3240 3240.0 648 648.0 1.2006289061409057e-5 0.03890037655896535
5 54432 54432.0 6480 6480.0 4.5942432632942815e-7 0.025007384930763432
6 979776 979776.0 69984 69984.0 1.7580012487095465e-8 0.017224474314556447
7 18475776 1.8475776e7 793152 793152.0 6.727045594551835e-10 0.012428738754672652
8 360277632 3.60277632e8 9307872 9.307872e6 2.5741245897519778e-11 0.00927399511668814
9 7205552640 7.20555264e9 112114368 1.12114368e8 9.849966542418283e-13 0.007097445242363372
10 146993273856 1.46993273856e11 1378124928 1.378124928e9 3.769119850415159e-14 0.005540352663681612
11 3046769676288 3.046769676288e12 17217743616 1.7217743616e10 1.4422652488833517e-15 0.004394250025461762
12 63982163202048 6.3982163202048e13 217995681024 2.17995681024e11 5.518872125829152e-17 0.003531093770460344
13 1358390541828096 1.358390541828096e15 2790907052544 2.790907052544e12 2.111813313455032e-18 0.0028686672311039677
14 29108368753459200 2.91083687534592e16 36068739111936 3.6068739111936e13 8.080918291282011e-20 0.0023522234948921018
15 628740765074718720 6.287407650747187e17 469920505522176 4.69920505522176e14 3.092188121664035e-21 0.0019441847253700028
